1,"10115",121.447403,31.284317,55,177,2006-02-27 17:34:31,0,0,"0"
2,"12574",121.361702,31.251217,42,137,2006-02-27 17:35:01,0,0,"0"
3,"12025",121.491348,31.264183,11,136,2006-02-27 17:34:28,3,0,"0"
4,"12028",121.506416,31.233400,0,169,2006-02-27 17:35:40,2,0,"0"
5,"12297",121.532669,31.330500,17,39,2006-02-27 17:34:27,0,0,"0"
6,"12288",121.413063,31.243017,20,116,2006-02-27 17:35:42,2,0,"0"
7,"13108",121.431015,31.260483,19,160,2006-02-27 17:35:01,2,0,"0"
8,"12567",121.448715,31.248333,28,165,2006-02-27 17:35:01,3,0,"0"
9,"10932",121.350487,31.190683,40,71,2006-02-27 17:35:01,2,0,"0"
10,"10399",121.409515,31.115400,9,34,2006-02-27 17:35:01,2,0,"0"
11,"10936",121.509567,31.203316,11,97,2006-02-27 17:34:21,2,0,"0"
12,"10396",121.405380,31.198500,16,120,2006-02-27 17:35:23,3,0,"0"
13,"11749",121.514503,31.217400,40,90,2006-02-27 17:35:10,3,0,"0"
14,"10667",121.479836,31.236534,16,138,2006-02-27 17:35:03,3,0,"0"
15,"10677",121.363930,31.188484,0,135,2006-02-27 17:35:37,2,0,"0"
16,"12035",121.432564,31.220118,10,75,2006-02-27 17:35:12,3,0,"0"
17,"10953",121.527832,31.278133,9,106,2006-02-27 17:35:02,2,0,"0"
18,"11495",121.390518,31.182400,8,32,2006-02-27 17:35:02,0,0,"0"
19,"11500",121.801567,31.154417,7,171,2006-02-27 17:35:02,3,0,"0"
20,"10412",121.440849,31.216316,10,130,2006-02-27 17:34:28,3,0,"0"
21,"10676",121.369720,31.131067,12,166,2006-02-27 17:35:08,3,0,"0"
22,"11229",121.433701,31.236416,9,73,2006-02-27 17:35:02,2,0,"0"
23,"11221",121.422668,31.143366,42,34,2006-02-27 17:34:21,2,0,"0"
24,"10954",121.499481,31.254517,10,121,2006-02-27 17:34:27,3,0,"0"
25,"12306",121.342903,31.172733,32,76,2006-02-27 17:33:35,3,0,"0"
26,"11490",121.538918,31.297400,21,78,2006-02-27 17:35:43,2,0,"0"
